,username,retweets,likes,text,hashtags,time
0,minsaude,22,148,"O ministro Queiroga também afirmou: “quem duvidou da Campanha Nacional de Imunização, duvidou do Sistema Único de Saúde. Duvidou de uma instituição com um histórico de campanhas de sucesso”. https://t.co/F3IhFe60Y7",[],2021-09-15 14:30:07
1,minsaude,18,122,"""A saúde é um direito fundamental. A saúde é um direito de todos. A campanha de vacinação é algo que o Brasil faz como nenhum outro país do mundo fez"", defendeu o ministro Queiroga, ao lado dos nossos secretários de saúde. https://t.co/vWAlE2Ym1v",[],2021-09-15 14:05:37
2,minsaude,21,184,"#MSpeloBrasil Com a segunda dose, o ministro Queiroga vacinou o ministro das Comunicações, Fábio Faria. Você sabia que mais de 75 MILHÕES de pessoas já tomaram a D2 ou dose única das vacinas #Covid19? Quando chegar a sua vez, complete o esquema vacinal 😉💉 https://t.co/omcuH7zi2c","['MSpeloBrasil', 'Covid19']",2021-09-15 14:01:25
3,minsaude,10,64,"#AOVIVO Nós estamos no Centro de Distribuição de vacinas #Covid19, em Guarulhos (SP), para concluir o envio de doses que vão imunizar a população adulta com a D1 💉💉💉 Acompanhe com a gente: https://t.co/NVpBe7eGFN","['AOVIVO', 'Covid19']",2021-09-15 13:38:24
4,minsaude,8,85,"✈️ Hoje, serão distribuídas 1,1 milhão de doses Pfizer! No total, 26 voos partem daqui do Aeroporto de Guarulhos durante esta quarta-feira para levar os imunizastes até os estados. Com isso, teremos distribuído doses suficientes para aplicar a 1ª dose em todo público vacinável 💉 https://t.co/Q2qRN0TIRu",[],2021-09-15 13:32:10
5,minsaude,33,248,"#MSpeloBrasil  🇧🇷💉 Bom dia, Pátria Vacinada! Hoje é um dia muito especial: o ministro da Saúde, Marcelo Queiroga, veio até São Paulo acompanhar a distribuição das últimas vacinas destinadas a aplicação de primeira dose da população 18➕ https://t.co/vMPibtSK4y",['MSpeloBrasil'],2021-09-15 12:51:46
6,minsaude,16,74,"Esses são alguns dos fatores de risco para a sífilis congênita. Mesmo que a doença tenha se manifestado na gestação, o tratamento pode evitar que a infecção seja transmitida para o bebê e que o mesmo tenha sequelas. Atenção ao pré-natal e teste rápido! https://t.co/yAPbMnbPab",[],2021-09-15 11:25:26
7,minsaude,0,0,@MariaBo67552649 🇧🇷🇧🇷,[],2021-09-15 01:49:53
8,minsaude,0,1,@Katybres Vamos continuar investindo em medidas para promover o bem-estar e saúde da população!,[],2021-09-15 01:49:52
9,minsaude,0,1,@FabioPradoPR Estamos avançando!,[],2021-09-15 01:49:52
10,minsaude,0,0,@Jorgeed16236434 Agradecemos o apoio e participação!,[],2021-09-15 01:49:52
11,minsaude,0,1,@MarciaD18352477 Continue nos acompanhando pelas redes sociais ou acesse: https://t.co/Ct4v67X31I,[],2021-09-15 01:49:52
12,minsaude,0,1,@srbmello Vamos em frente! 🇧🇷,[],2021-09-15 01:49:52
13,minsaude,0,0,@_phooliveira 😉💉,[],2021-09-15 01:49:51
14,minsaude,0,1,@GuerreiroPatr10 Obrigado pelo apoio e participação!,[],2021-09-15 01:49:51
15,minsaude,0,0,@nilobento Obrigado pela participação! Continue nos acompanhando pelas redes sociais.,[],2021-09-15 01:49:51
16,minsaude,0,0,@Luciola68148379 Vamos em frente!,[],2021-09-15 01:49:51
17,minsaude,0,0,@HelenaMiucha 🇧🇷🇧🇷,[],2021-09-15 01:49:51
18,minsaude,0,0,"@josilene_sandes Temos o compromisso de cuidar dos cidadãos brasileiros e salvar vidas, além de promover e prevenir a saúde da população.",[],2021-09-15 01:49:51
19,minsaude,23,145,"Com essa parceria, foi possível ampliarmos os serviços de telessaúde 💻 no país 🇧🇷. ➕ 1️⃣2️⃣0️⃣ unidades escolhidas no projeto piloto da telessaúde, com serviços nas especialidades de cardiologia, dermatologia, pediatria, psiquiatria e oftalmologia! https://t.co/ZCTHrjtxIn",[],2021-09-14 20:46:33
